"Material_id","Power_eig0","phi_assembly_g_0_eig0","phi_assembly_g_1_eig0","phi_assembly_g_2_eig0","phi_assembly_g_3_eig0","phi_assembly_g_4_eig0","phi_assembly_g_5_eig0","phi_assembly_g_6_eig0","phi_assembly_g_7_eig0","phi_g1_eig_1","phi_g2_eig_1","phi_g3_eig_1","phi_g4_eig_1","phi_g5_eig_1","phi_g6_eig_1","phi_g7_eig_1","phi_g8_eig_1","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
123,3.8411,55.025,80.097,34.936,8.4231,6.6218,9.5842,7.5152,2.0577,53.553,76.183,28.963,7.1237,5.2649,7.1817,5.2272,1.1636,1,207.01,0,80.01,0
123,3.8411,55.025,80.097,34.936,8.4231,6.6218,9.5842,7.5152,2.0577,52.196,74.142,28.665,7.0603,5.338,7.3941,5.4541,1.2536,1,207.26,0,80.264,0
123,3.8411,55.025,80.097,34.936,8.4231,6.6218,9.5842,7.5152,2.0577,50.676,71.936,28.41,7.006,5.438,7.668,5.7452,1.3715,1,207.52,0,80.518,0
123,3.8411,55.025,80.097,34.936,8.4231,6.6218,9.5842,7.5152,2.0577,49.071,69.65,28.175,6.9558,5.5513,7.9726,6.0691,1.504,1,207.77,0,80.772,0
123,3.8411,55.025,80.097,34.936,8.4231,6.6218,9.5842,7.5152,2.0577,47.266,67.189,27.983,6.9145,5.6942,8.3482,6.4702,1.6731,1,208.03,0,81.026,0
123,3.8411,55.025,80.097,34.936,8.4231,6.6218,9.5842,7.5152,2.0577,45.276,64.576,27.828,6.8801,5.863,8.789,6.9453,1.8815,1,208.28,0,81.28,0
123,3.8411,55.025,80.097,34.936,8.4231,6.6218,9.5842,7.5152,2.0577,42.948,61.691,27.738,6.8575,6.0792,9.3529,7.5639,2.1717,1,208.53,0,81.534,0
123,3.8411,55.025,80.097,34.936,8.4231,6.6218,9.5842,7.5152,2.0577,40.509,58.727,27.666,6.838,6.3119,9.9623,8.238,2.4978,1,208.79,0,81.788,0
123,3.8411,55.025,80.097,34.936,8.4231,6.6218,9.5842,7.5152,2.0577,37.67,55.469,27.663,6.8304,6.6129,10.761,9.1462,2.9825,1,209.04,0,82.042,0
123,3.8411,55.025,80.097,34.936,8.4231,6.6218,9.5842,7.5152,2.0577,34.725,52.139,27.677,6.8256,6.935,11.62,10.129,3.5189,1,209.3,0,82.296,0
250,0,41.943,66.454,39.784,9.491,9.3869,15.761,14.163,5.3595,31.516,48.72,27.761,6.8336,7.5235,13.126,11.819,4.4046,1,209.55,0,82.55,0
250,0,41.943,66.454,39.784,9.4909,9.3869,15.761,14.163,5.3595,28.466,45.425,27.856,6.8641,8.331,15.209,14.221,5.7024,1,209.8,0,82.804,0
377,0,32.104,54.698,43.614,10.76,13.07,24.787,24.897,11.457,26.367,42.717,27.804,6.8814,8.8718,16.711,16.096,6.8463,1,210.06,0,83.058,0
377,0,32.103,54.698,43.614,10.76,13.07,24.787,24.897,11.457,24.869,40.462,27.596,6.866,9.1988,17.695,17.394,7.6863,1,210.31,0,83.312,0
377,0,32.103,54.698,43.614,10.76,13.07,24.787,24.897,11.457,23.386,38.229,27.373,6.8479,9.5207,18.665,18.668,8.5047,1,210.57,0,83.566,0
377,0,32.103,54.698,43.614,10.76,13.07,24.787,24.897,11.457,22.157,36.398,26.895,6.7832,9.7547,19.387,19.534,8.9456,1,210.82,0,83.82,0
377,0,32.103,54.698,43.614,10.76,13.07,24.787,24.897,11.457,20.929,34.567,26.417,6.7185,9.9887,20.11,20.401,9.3865,1,211.07,0,84.074,0
377,0,32.103,54.698,43.614,10.76,13.07,24.787,24.897,11.457,19.849,32.927,25.867,6.6362,10.173,20.707,21.11,9.7479,1,211.33,0,84.328,0
377,0,32.103,54.698,43.614,10.76,13.07,24.787,24.897,11.457,18.848,31.39,25.28,6.5444,10.332,21.236,21.736,10.067,1,211.58,0,84.582,0
377,0,32.103,54.698,43.614,10.76,13.07,24.787,24.897,11.457,17.891,29.907,24.678,6.4487,10.475,21.729,22.317,10.358,1,211.84,0,84.836,0
377,0,32.103,54.698,43.614,10.76,13.07,24.787,24.897,11.457,17.067,28.587,24.035,6.3415,10.572,22.112,22.763,10.568,1,212.09,0,85.09,0
377,0,32.103,54.698,43.614,10.76,13.07,24.787,24.897,11.457,16.243,27.268,23.393,6.2343,10.669,22.494,23.209,10.778,1,212.34,0,85.344,0
377,0,32.103,54.698,43.614,10.76,13.07,24.787,24.897,11.457,15.535,26.09,22.732,6.1215,10.721,22.779,23.542,10.935,1,212.6,0,85.598,0
377,0,32.103,54.698,43.614,10.76,13.07,24.787,24.897,11.457,14.848,24.937,22.068,6.0078,10.765,23.046,23.855,11.083,1,212.85,0,85.852,0
377,0,32.103,54.698,43.614,10.76,13.07,24.787,24.897,11.457,14.21,23.842,21.403,5.8937,10.787,23.272,24.122,11.21,1,213.11,0,86.106,0
377,0,32.104,54.698,43.614,10.76,13.07,24.787,24.897,11.457,13.632,22.822,20.737,5.7793,10.781,23.448,24.331,11.31,1,213.36,0,86.36,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,13.058,21.806,20.073,5.6646,10.775,23.62,24.536,11.408,1,213.61,0,86.614,0
381,0,2.6376,4.0189,4.0438,1.2725,3.5354,8.319,8.7248,4.0489,12.57,20.903,19.446,5.5422,10.745,23.709,24.65,11.462,1,213.87,0,86.868,0
