"phi_g8_eig_1","Points:0","Points:1","Points:2"
15.367,-69.088,0,0
16.082,-68.834,0,0
16.646,-68.58,0,0
17.053,-68.326,0,0
17.4,-68.072,0,0
17.636,-67.818,0,0
17.772,-67.564,0,0
17.808,-67.31,0,0
17.741,-67.056,0,0
17.565,-66.802,0,0
17.351,-66.548,0,0
16.908,-66.294,0,0
16.404,-66.04,0,0
15.666,-65.786,0,0
14.755,-65.532,0,0
13.45,-65.278,0,0
11.82,-65.024,0,0
9.4808,-64.77,0,0
7.1704,-64.516,0,0
6.0693,-64.262,0,0
5.1246,-64.008,0,0
4.3426,-63.754,0,0
3.745,-63.5,0,0
3.2275,-63.246,0,0
2.8858,-62.992,0,0
2.5881,-62.738,0,0
2.3534,-62.484,0,0
2.1608,-62.23,0,0
1.9963,-61.976,0,0
1.8788,-61.722,0,0
1.7755,-61.468,0,0
1.6986,-61.214,0,0
1.6425,-60.96,0,0
1.6058,-60.706,0,0
1.5925,-60.452,0,0
1.5926,-60.198,0,0
1.6061,-59.944,0,0
1.642,-59.69,0,0
1.696,-59.436,0,0
1.7651,-59.182,0,0
1.8562,-58.928,0,0
1.9738,-58.674,0,0
2.1194,-58.42,0,0
2.2936,-58.166,0,0
2.515,-57.912,0,0
2.7543,-57.658,0,0
3.0528,-57.404,0,0
3.4356,-57.15,0,0
3.9038,-56.896,0,0
4.4703,-56.642,0,0
5.1671,-56.388,0,0
6.1051,-56.134,0,0
7.2055,-55.88,0,0
8.7011,-55.626,0,0
11.063,-55.372,0,0
14.278,-55.118,0,0
17.144,-54.864,0,0
19.27,-54.61,0,0
20.927,-54.356,0,0
22.161,-54.102,0,0
23.183,-53.848,0,0
23.973,-53.594,0,0
24.55,-53.34,0,0
25.012,-53.086,0,0
25.328,-52.832,0,0
25.499,-52.578,0,0
25.525,-52.324,0,0
25.406,-52.07,0,0
25.132,-51.816,0,0
24.799,-51.562,0,0
24.154,-51.308,0,0
23.416,-51.054,0,0
22.355,-50.8,0,0
21.057,-50.546,0,0
19.212,-50.292,0,0
16.906,-50.038,0,0
13.624,-49.784,0,0
10.346,-49.53,0,0
8.6053,-49.276,0,0
7.1158,-49.022,0,0
6.1392,-48.768,0,0
5.2577,-48.514,0,0
4.5836,-48.26,0,0
4.059,-48.006,0,0
3.6288,-47.752,0,0
3.2779,-47.498,0,0
3.0133,-47.244,0,0
2.775,-46.99,0,0
2.6014,-46.736,0,0
2.4417,-46.482,0,0
2.3251,-46.228,0,0
2.2372,-45.974,0,0
2.1764,-45.72,0,0
2.1454,-45.466,0,0
2.1339,-45.212,0,0
2.1396,-44.958,0,0
2.177,-44.704,0,0
2.2348,-44.45,0,0
2.3169,-44.196,0,0
2.4261,-43.942,0,0
2.567,-43.688,0,0
2.7413,-43.434,0,0
2.9652,-43.18,0,0
3.2163,-42.926,0,0
3.5475,-42.672,0,0
3.9227,-42.418,0,0
4.3652,-42.164,0,0
4.9542,-41.91,0,0
5.6896,-41.656,0,0
6.5388,-41.402,0,0
7.7347,-41.148,0,0
9.1385,-40.894,0,0
11,-40.64,0,0
13.864,-40.386,0,0
17.929,-40.132,0,0
21.624,-39.878,0,0
24.337,-39.624,0,0
26.458,-39.37,0,0
28.018,-39.116,0,0
29.311,-38.862,0,0
30.292,-38.608,0,0
31.031,-38.354,0,0
31.577,-38.1,0,0
31.964,-37.846,0,0
32.165,-37.592,0,0
32.184,-37.338,0,0
32.02,-37.084,0,0
31.662,-36.83,0,0
31.221,-36.576,0,0
30.412,-36.322,0,0
29.468,-36.068,0,0
28.133,-35.814,0,0
26.509,-35.56,0,0
24.213,-35.306,0,0
21.33,-35.052,0,0
17.275,-34.798,0,0
13.17,-34.544,0,0
10.827,-34.29,0,0
8.9721,-34.036,0,0
