"phi_g8_eig_1","Points:0","Points:1","Points:2"
0.056044,0,-127,0
0.074027,0,-126.75,0
0.092118,0,-126.49,0
0.11032,0,-126.24,0
0.12863,0,-125.98,0
0.14705,0,-125.73,0
0.1656,0,-125.48,0
0.18426,0,-125.22,0
0.20304,0,-124.97,0
0.22194,0,-124.71,0
0.24097,0,-124.46,0
0.26014,0,-124.21,0
0.27943,0,-123.95,0
0.29886,0,-123.7,0
0.31843,0,-123.44,0
0.33814,0,-123.19,0
0.35799,0,-122.94,0
0.378,0,-122.68,0
0.39816,0,-122.43,0
0.41847,0,-122.17,0
0.43895,0,-121.92,0
0.45959,0,-121.67,0
0.4804,0,-121.41,0
0.50139,0,-121.16,0
0.52256,0,-120.9,0
0.5439,0,-120.65,0
0.56544,0,-120.4,0
0.58718,0,-120.14,0
0.60912,0,-119.89,0
0.63256,0,-119.63,0
0.65872,0,-119.38,0
0.68513,0,-119.13,0
0.71182,0,-118.87,0
0.74146,0,-118.62,0
0.77169,0,-118.36,0
0.80218,0,-118.11,0
0.83293,0,-117.86,0
0.86395,0,-117.6,0
0.89526,0,-117.35,0
0.92686,0,-117.09,0
0.95878,0,-116.84,0
0.99101,0,-116.59,0
1.0236,0,-116.33,0
1.0565,0,-116.08,0
1.0898,0,-115.82,0
1.1234,0,-115.57,0
1.1575,0,-115.32,0
1.192,0,-115.06,0
1.2269,0,-114.81,0
1.2623,0,-114.55,0
1.2982,0,-114.3,0
1.3349,0,-114.05,0
1.3771,0,-113.79,0
1.4197,0,-113.54,0
1.4627,0,-113.28,0
1.5062,0,-113.03,0
1.5529,0,-112.78,0
1.6007,0,-112.52,0
1.649,0,-112.27,0
1.6977,0,-112.01,0
1.7468,0,-111.76,0
1.7963,0,-111.51,0
1.8464,0,-111.25,0
1.8971,0,-111,0
1.9484,0,-110.74,0
2.0005,0,-110.49,0
2.0533,0,-110.24,0
2.1125,0,-109.98,0
2.1779,0,-109.73,0
2.2434,0,-109.47,0
2.3089,0,-109.22,0
2.3744,0,-108.97,0
2.44,0,-108.71,0
2.5056,0,-108.46,0
2.5713,0,-108.2,0
2.637,0,-107.95,0
2.7027,0,-107.7,0
2.7684,0,-107.44,0
2.8342,0,-107.19,0
2.9086,0,-106.93,0
2.993,0,-106.68,0
3.0775,0,-106.43,0
3.162,0,-106.17,0
3.2465,0,-105.92,0
3.331,0,-105.66,0
3.4155,0,-105.41,0
3.5001,0,-105.16,0
3.5847,0,-104.9,0
3.6692,0,-104.65,0
3.7538,0,-104.39,0
3.8384,0,-104.14,0
3.9354,0,-103.89,0
4.0412,0,-103.63,0
4.147,0,-103.38,0
4.2528,0,-103.12,0
4.3585,0,-102.87,0
4.4643,0,-102.62,0
4.5701,0,-102.36,0
4.6759,0,-102.11,0
4.7817,0,-101.85,0
4.8875,0,-101.6,0
4.9933,0,-101.35,0
5.0991,0,-101.09,0
5.2164,0,-100.84,0
5.3371,0,-100.58,0
5.4581,0,-100.33,0
5.5796,0,-100.08,0
5.7023,0,-99.822,0
5.831,0,-99.568,0
5.9601,0,-99.314,0
6.0897,0,-99.06,0
6.2198,0,-98.806,0
6.3505,0,-98.552,0
6.4853,0,-98.298,0
6.6222,0,-98.044,0
6.7598,0,-97.79,0
6.8981,0,-97.536,0
7.0371,0,-97.282,0
7.1767,0,-97.028,0
7.3174,0,-96.774,0
7.4591,0,-96.52,0
7.6027,0,-96.266,0
7.7467,0,-96.012,0
7.891,0,-95.758,0
8.0356,0,-95.504,0
8.1804,0,-95.25,0
8.3253,0,-94.996,0
8.4704,0,-94.742,0
8.6156,0,-94.488,0
8.7607,0,-94.234,0
8.9033,0,-93.98,0
9.0447,0,-93.726,0
9.1855,0,-93.472,0
9.3258,0,-93.218,0
9.4655,0,-92.964,0
9.6047,0,-92.71,0
9.7378,0,-92.456,0
9.8669,0,-92.202,0
9.9953,0,-91.948,0
10.123,0,-91.694,0
10.25,0,-91.44,0
10.367,0,-91.186,0
10.481,0,-90.932,0
10.588,0,-90.678,0
10.689,0,-90.424,0
10.787,0,-90.17,0
10.873,0,-89.916,0
10.958,0,-89.662,0
11.03,0,-89.408,0
11.094,0,-89.154,0
11.152,0,-88.9,0
11.193,0,-88.646,0
11.224,0,-88.392,0
11.246,0,-88.138,0
