"phi_g8_eig_1","Points:0","Points:1","Points:2"
0.090381,-127,0,0
0.11851,-126.75,0,0
0.14664,-126.49,0,0
0.17476,-126.24,0,0
0.20289,-125.98,0,0
0.23102,-125.73,0,0
0.25914,-125.48,0,0
0.28727,-125.22,0,0
0.3154,-124.97,0,0
0.34352,-124.71,0,0
0.37165,-124.46,0,0
0.39978,-124.21,0,0
0.42915,-123.95,0,0
0.4612,-123.7,0,0
0.49325,-123.44,0,0
0.5253,-123.19,0,0
0.55735,-122.94,0,0
0.5894,-122.68,0,0
0.62145,-122.43,0,0
0.6535,-122.17,0,0
0.68555,-121.92,0,0
0.7176,-121.67,0,0
0.74965,-121.41,0,0
0.7817,-121.16,0,0
0.81813,-120.9,0,0
0.85706,-120.65,0,0
0.89599,-120.4,0,0
0.93492,-120.14,0,0
0.97385,-119.89,0,0
1.0128,-119.63,0,0
1.0517,-119.38,0,0
1.0906,-119.13,0,0
1.1296,-118.87,0,0
1.1685,-118.62,0,0
1.2074,-118.36,0,0
1.2463,-118.11,0,0
1.2938,-117.86,0,0
1.3417,-117.6,0,0
1.3896,-117.35,0,0
1.4375,-117.09,0,0
1.4854,-116.84,0,0
1.5333,-116.59,0,0
1.5812,-116.33,0,0
1.629,-116.08,0,0
1.6769,-115.82,0,0
1.7248,-115.57,0,0
1.7727,-115.32,0,0
1.8237,-115.06,0,0
1.883,-114.81,0,0
1.9422,-114.55,0,0
2.0014,-114.3,0,0
2.0607,-114.05,0,0
2.1199,-113.79,0,0
2.1792,-113.54,0,0
2.2384,-113.28,0,0
2.2977,-113.03,0,0
2.3569,-112.78,0,0
2.4161,-112.52,0,0
2.4754,-112.27,0,0
2.5417,-112.01,0,0
2.613,-111.76,0,0
2.6842,-111.51,0,0
2.7554,-111.25,0,0
2.8267,-111,0,0
2.8979,-110.74,0,0
2.9691,-110.49,0,0
3.0404,-110.24,0,0
3.1116,-109.98,0,0
3.1828,-109.73,0,0
3.2541,-109.47,0,0
3.3253,-109.22,0,0
3.4043,-108.97,0,0
3.4842,-108.71,0,0
3.5643,-108.46,0,0
3.6445,-108.2,0,0
3.725,-107.95,0,0
3.8057,-107.7,0,0
3.8867,-107.44,0,0
3.9679,-107.19,0,0
4.0493,-106.93,0,0
4.131,-106.68,0,0
4.213,-106.43,0,0
4.2954,-106.17,0,0
4.378,-105.92,0,0
4.4606,-105.66,0,0
4.5422,-105.41,0,0
4.6234,-105.16,0,0
4.7042,-104.9,0,0
4.7846,-104.65,0,0
4.8646,-104.39,0,0
4.944,-104.14,0,0
5.023,-103.89,0,0
5.1013,-103.63,0,0
5.179,-103.38,0,0
5.2556,-103.12,0,0
5.3235,-102.87,0,0
5.3904,-102.62,0,0
5.456,-102.36,0,0
5.52,-102.11,0,0
5.5821,-101.85,0,0
5.6417,-101.6,0,0
5.6947,-101.35,0,0
5.7338,-101.09,0,0
5.7729,-100.84,0,0
5.8119,-100.58,0,0
5.851,-100.33,0,0
5.8868,-100.08,0,0
5.89,-99.822,0,0
5.8933,-99.568,0,0
5.8966,-99.314,0,0
5.8999,-99.06,0,0
5.9032,-98.806,0,0
5.8515,-98.552,0,0
5.7984,-98.298,0,0
5.7454,-98.044,0,0
5.6923,-97.79,0,0
5.6393,-97.536,0,0
5.5467,-97.282,0,0
5.4331,-97.028,0,0
5.2997,-96.774,0,0
5.1686,-96.52,0,0
4.9763,-96.266,0,0
4.7773,-96.012,0,0
4.5127,-95.758,0,0
4.2261,-95.504,0,0
3.8461,-95.25,0,0
3.3888,-94.996,0,0
2.794,-94.742,0,0
2.2056,-94.488,0,0
1.9209,-94.234,0,0
1.6536,-93.98,0,0
1.4271,-93.726,0,0
1.2399,-93.472,0,0
1.0738,-93.218,0,0
0.95607,-92.964,0,0
0.85094,-92.71,0,0
0.76544,-92.456,0,0
0.69529,-92.202,0,0
0.63474,-91.948,0,0
0.59123,-91.694,0,0
0.55328,-91.44,0,0
0.52546,-91.186,0,0
0.50581,-90.932,0,0
0.49387,-90.678,0,0
0.4917,-90.424,0,0
0.495,-90.17,0,0
0.50441,-89.916,0,0
0.52176,-89.662,0,0
0.54736,-89.408,0,0
0.58173,-89.154,0,0
0.62512,-88.9,0,0
0.67969,-88.646,0,0
0.74909,-88.392,0,0
0.83214,-88.138,0,0
0.93253,-87.884,0,0
1.0455,-87.63,0,0
1.1947,-87.376,0,0
1.3617,-87.122,0,0
1.5618,-86.868,0,0
1.8138,-86.614,0,0
2.1244,-86.36,0,0
2.4754,-86.106,0,0
2.9199,-85.852,0,0
3.3965,-85.598,0,0
4.2223,-85.344,0,0
5.2403,-85.09,0,0
6.1108,-84.836,0,0
6.8084,-84.582,0,0
7.3687,-84.328,0,0
7.8231,-84.074,0,0
8.2028,-83.82,0,0
8.5115,-83.566,0,0
8.7347,-83.312,0,0
8.9285,-83.058,0,0
9.0617,-82.804,0,0
9.1411,-82.55,0,0
9.1665,-82.296,0,0
9.1373,-82.042,0,0
9.0504,-81.788,0,0
8.9435,-81.534,0,0
8.7123,-81.28,0,0
8.4448,-81.026,0,0
8.0545,-80.772,0,0
7.5888,-80.518,0,0
6.9469,-80.264,0,0
6.1613,-80.01,0,0
5.0993,-79.756,0,0
4.0113,-79.502,0,0
3.4905,-79.248,0,0
3.0051,-78.994,0,0
2.5892,-78.74,0,0
2.2492,-78.486,0,0
1.9447,-78.232,0,0
1.7297,-77.978,0,0
1.5372,-77.724,0,0
1.383,-77.47,0,0
1.2546,-77.216,0,0
1.1443,-76.962,0,0
1.0664,-76.708,0,0
0.99788,-76.454,0,0
0.94805,-76.2,0,0
0.91309,-75.946,0,0
0.8921,-75.692,0,0
0.88858,-75.438,0,0
0.8951,-75.184,0,0
0.91223,-74.93,0,0
0.945,-74.676,0,0
0.9918,-74.422,0,0
1.0541,-74.168,0,0
1.1329,-73.914,0,0
1.2318,-73.66,0,0
1.3559,-73.406,0,0
1.5072,-73.152,0,0
1.687,-72.898,0,0
1.8908,-72.644,0,0
2.1591,-72.39,0,0
2.4576,-72.136,0,0
2.819,-71.882,0,0
3.2661,-71.628,0,0
3.8253,-71.374,0,0
4.4499,-71.12,0,0
5.2497,-70.866,0,0
6.1079,-70.612,0,0
7.546,-70.358,0,0
9.3834,-70.104,0,0
10.975,-69.85,0,0
12.235,-69.596,0,0
13.247,-69.342,0,0
14.054,-69.088,0,0
14.728,-68.834,0,0
15.264,-68.58,0,0
15.652,-68.326,0,0
15.976,-68.072,0,0
16.196,-67.818,0,0
16.32,-67.564,0,0
16.347,-67.31,0,0
16.276,-67.056,0,0
16.101,-66.802,0,0
15.888,-66.548,0,0
15.454,-66.294,0,0
14.967,-66.04,0,0
14.264,-65.786,0,0
13.429,-65.532,0,0
12.294,-65.278,0,0
10.909,-65.024,0,0
9.0443,-64.77,0,0
7.1186,-64.516,0,0
6.1385,-64.262,0,0
5.2765,-64.008,0,0
4.5324,-63.754,0,0
3.9249,-63.5,0,0
3.3805,-63.246,0,0
2.9917,-62.992,0,0
2.6466,-62.738,0,0
2.367,-62.484,0,0
2.1343,-62.23,0,0
1.9332,-61.976,0,0
1.7872,-61.722,0,0
1.6583,-61.468,0,0
1.5612,-61.214,0,0
1.4894,-60.96,0,0
1.4411,-60.706,0,0
1.4211,-60.452,0,0
1.4172,-60.198,0,0
1.4295,-59.944,0,0
1.4686,-59.69,0,0
1.5298,-59.436,0,0
1.6094,-59.182,0,0
1.716,-58.928,0,0
1.8551,-58.674,0,0
2.0288,-58.42,0,0
2.2373,-58.166,0,0
2.503,-57.912,0,0
2.7885,-57.658,0,0
3.1431,-57.404,0,0
3.5894,-57.15,0,0
4.1216,-56.896,0,0
4.7469,-56.642,0,0
5.4899,-56.388,0,0
6.4237,-56.134,0,0
7.4766,-55.88,0,0
8.8135,-55.626,0,0
10.849,-55.372,0,0
13.514,-55.118,0,0
15.856,-54.864,0,0
17.689,-54.61,0,0
19.161,-54.356,0,0
20.319,-54.102,0,0
21.288,-53.848,0,0
22.042,-53.594,0,0
22.597,-53.34,0,0
23.032,-53.086,0,0
23.331,-52.832,0,0
23.49,-52.578,0,0
23.508,-52.324,0,0
23.387,-52.07,0,0
23.118,-51.816,0,0
22.789,-51.562,0,0
22.16,-51.308,0,0
21.447,-51.054,0,0
20.434,-50.8,0,0
19.236,-50.546,0,0
17.624,-50.292,0,0
15.654,-50.038,0,0
13.022,-49.784,0,0
10.278,-49.53,0,0
8.7448,-49.276,0,0
7.4127,-49.022,0,0
6.4451,-48.768,0,0
5.5516,-48.514,0,0
4.823,-48.26,0,0
4.2324,-48.006,0,0
3.7347,-47.752,0,0
3.3185,-47.498,0,0
2.9977,-47.244,0,0
2.7071,-46.99,0,0
2.4928,-46.736,0,0
2.295,-46.482,0,0
2.1497,-46.228,0,0
