"Material_id","Power_eig0","phi_assembly_g_0_eig0","phi_assembly_g_1_eig0","phi_assembly_g_2_eig0","phi_assembly_g_3_eig0","phi_assembly_g_4_eig0","phi_assembly_g_5_eig0","phi_assembly_g_6_eig0","phi_assembly_g_7_eig0","phi_g1_eig_1","phi_g2_eig_1","phi_g3_eig_1","phi_g4_eig_1","phi_g5_eig_1","phi_g6_eig_1","phi_g7_eig_1","phi_g8_eig_1","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
322,0,40.514,70.149,56.752,13.814,15.215,27.702,27.651,12.733,33.666,57.896,44.066,10.573,11.128,19.83,19.59,8.9752,1,207.77,80.772,0,0
322,0,40.514,70.149,56.752,13.814,15.215,27.702,27.651,12.733,32.48,56.117,43.844,10.566,11.342,20.44,20.333,9.3761,1,208.03,81.026,0,0
322,0,40.514,70.149,56.752,13.814,15.215,27.703,27.651,12.733,31.489,54.624,43.549,10.53,11.475,20.849,20.838,9.6464,1,208.28,81.28,0,0
322,0,40.514,70.149,56.752,13.814,15.215,27.703,27.651,12.733,30.568,53.217,43.191,10.481,11.587,21.212,21.28,9.8775,1,208.53,81.534,0,0
322,0,40.514,70.149,56.752,13.814,15.215,27.703,27.651,12.733,29.867,52.116,42.774,10.403,11.61,21.359,21.474,9.9801,1,208.79,81.788,0,0
322,0,40.514,70.149,56.752,13.814,15.215,27.702,27.651,12.733,29.221,51.073,42.331,10.318,11.616,21.47,21.627,10.066,1,209.04,82.042,0,0
322,0,40.514,70.149,56.752,13.814,15.215,27.703,27.65,12.733,28.683,50.174,41.854,10.217,11.578,21.481,21.664,10.091,1,209.3,82.296,0,0
323,0,18.698,31.515,24.876,6.1764,7.932,15.385,15.507,7.1377,28.254,49.414,41.349,10.104,11.497,21.394,21.589,10.062,1,209.55,82.55,0,0
323,0,18.698,31.515,24.876,6.1764,7.932,15.385,15.507,7.1377,27.933,48.787,40.825,9.9782,11.376,21.209,21.402,9.9759,1,209.8,82.804,0,0
323,0,18.698,31.515,24.876,6.1764,7.932,15.385,15.507,7.1377,27.714,48.287,40.285,9.8424,11.22,20.926,21.104,9.8327,1,210.06,83.058,0,0
