"phi_g1_eig_1","Points:0","Points:1","Points:2"
3.7919,2.13,8.967,0
3.7852,2.14,8.967,0
3.7785,2.15,8.967,0
3.7718,2.16,8.967,0
3.7651,2.17,8.967,0
3.7584,2.18,8.967,0
3.7517,2.19,8.967,0
3.745,2.2,8.967,0
3.7383,2.21,8.967,0
3.7316,2.22,8.967,0
3.725,2.23,8.967,0
3.7183,2.24,8.967,0
3.7116,2.25,8.967,0
3.7054,2.26,8.967,0
3.6991,2.27,8.967,0
3.6929,2.28,8.967,0
3.6867,2.29,8.967,0
3.6805,2.3,8.967,0
3.6743,2.31,8.967,0
3.6681,2.32,8.967,0
3.6619,2.33,8.967,0
3.6557,2.34,8.967,0
3.6495,2.35,8.967,0
3.6433,2.36,8.967,0
3.637,2.37,8.967,0
3.6312,2.38,8.967,0
3.6256,2.39,8.967,0
3.62,2.4,8.967,0
3.6145,2.41,8.967,0
3.6089,2.42,8.967,0
3.6034,2.43,8.967,0
3.5978,2.44,8.967,0
3.5923,2.45,8.967,0
3.5867,2.46,8.967,0
3.5812,2.47,8.967,0
3.5756,2.48,8.967,0
3.57,2.49,8.967,0
3.5645,2.5,8.967,0
3.5596,2.51,8.967,0
3.5548,2.52,8.967,0
3.5499,2.53,8.967,0
3.545,2.54,8.967,0
3.5402,2.55,8.967,0
3.5353,2.56,8.967,0
3.5304,2.57,8.967,0
3.5256,2.58,8.967,0
3.5207,2.59,8.967,0
3.5158,2.6,8.967,0
3.511,2.61,8.967,0
3.5061,2.62,8.967,0
3.5016,2.63,8.967,0
3.4974,2.64,8.967,0
3.4932,2.65,8.967,0
3.489,2.66,8.967,0
3.4849,2.67,8.967,0
3.4807,2.68,8.967,0
3.4765,2.69,8.967,0
3.4723,2.7,8.967,0
3.4682,2.71,8.967,0
3.464,2.72,8.967,0
3.4598,2.73,8.967,0
3.4556,2.74,8.967,0
3.4515,2.75,8.967,0
3.448,2.76,8.967,0
3.4445,2.77,8.967,0
3.441,2.78,8.967,0
3.4375,2.79,8.967,0
3.434,2.8,8.967,0
3.4305,2.81,8.967,0
3.427,2.82,8.967,0
3.4235,2.83,8.967,0
3.42,2.84,8.967,0
3.4165,2.85,8.967,0
3.413,2.86,8.967,0
3.4095,2.87,8.967,0
3.4064,2.88,8.967,0
3.4035,2.89,8.967,0
3.4007,2.9,8.967,0
3.3979,2.91,8.967,0
3.3951,2.92,8.967,0
3.3922,2.93,8.967,0
3.3894,2.94,8.967,0
3.3866,2.95,8.967,0
3.3838,2.96,8.967,0
3.3809,2.97,8.967,0
3.3781,2.98,8.967,0
3.3753,2.99,8.967,0
3.3725,3,8.967,0
3.3703,3.01,8.967,0
3.3681,3.02,8.967,0
3.366,3.03,8.967,0
3.3638,3.04,8.967,0
3.3616,3.05,8.967,0
3.3595,3.06,8.967,0
3.3573,3.07,8.967,0
3.3551,3.08,8.967,0
3.353,3.09,8.967,0
3.3508,3.1,8.967,0
3.3486,3.11,8.967,0
3.3465,3.12,8.967,0
3.3446,3.13,8.967,0
3.3431,3.14,8.967,0
3.3416,3.15,8.967,0
3.3401,3.16,8.967,0
3.3386,3.17,8.967,0
3.3371,3.18,8.967,0
3.3356,3.19,8.967,0
3.334,3.2,8.967,0
3.3325,3.21,8.967,0
3.331,3.22,8.967,0
3.3295,3.23,8.967,0
3.328,3.24,8.967,0
3.3265,3.25,8.967,0
3.3256,3.26,8.967,0
3.3247,3.27,8.967,0
3.3239,3.28,8.967,0
3.323,3.29,8.967,0
3.3222,3.3,8.967,0
3.3213,3.31,8.967,0
3.3204,3.32,8.967,0
3.3196,3.33,8.967,0
3.3187,3.34,8.967,0
3.3178,3.35,8.967,0
3.317,3.36,8.967,0
3.3161,3.37,8.967,0
3.3156,3.38,8.967,0
3.3153,3.39,8.967,0
3.3151,3.4,8.967,0
3.3149,3.41,8.967,0
3.3147,3.42,8.967,0
3.3145,3.43,8.967,0
3.3142,3.44,8.967,0
3.314,3.45,8.967,0
3.3138,3.46,8.967,0
3.3136,3.47,8.967,0
3.3134,3.48,8.967,0
3.3131,3.49,8.967,0
3.3129,3.5,8.967,0
3.3133,3.51,8.967,0
3.3137,3.52,8.967,0
3.3141,3.53,8.967,0
3.3146,3.54,8.967,0
3.315,3.55,8.967,0
3.3154,3.56,8.967,0
3.3158,3.57,8.967,0
3.3162,3.58,8.967,0
3.3166,3.59,8.967,0
3.317,3.6,8.967,0
3.3174,3.61,8.967,0
3.3178,3.62,8.967,0
3.3185,3.63,8.967,0
3.3195,3.64,8.967,0
3.3205,3.65,8.967,0
3.3215,3.66,8.967,0
3.3225,3.67,8.967,0
3.3235,3.68,8.967,0
3.3245,3.69,8.967,0
3.3255,3.7,8.967,0
3.3265,3.71,8.967,0
3.3274,3.72,8.967,0
3.3284,3.73,8.967,0
3.3294,3.74,8.967,0
3.3304,3.75,8.967,0
3.3318,3.76,8.967,0
3.3333,3.77,8.967,0
3.3347,3.78,8.967,0
3.3361,3.79,8.967,0
3.3375,3.8,8.967,0
3.3389,3.81,8.967,0
3.3403,3.82,8.967,0
3.3418,3.83,8.967,0
3.3432,3.84,8.967,0
3.3446,3.85,8.967,0
3.346,3.86,8.967,0
3.3474,3.87,8.967,0
3.3487,3.88,8.967,0
3.3497,3.89,8.967,0
3.3507,3.9,8.967,0
3.3517,3.91,8.967,0
3.3527,3.92,8.967,0
3.3537,3.93,8.967,0
3.3547,3.94,8.967,0
3.3557,3.95,8.967,0
3.3567,3.96,8.967,0
3.3577,3.97,8.967,0
3.3587,3.98,8.967,0
3.3597,3.99,8.967,0
3.3608,4,8.967,0
3.3617,4.01,8.967,0
3.3626,4.02,8.967,0
3.3635,4.03,8.967,0
3.3645,4.04,8.967,0
3.3654,4.05,8.967,0
3.3663,4.06,8.967,0
3.3673,4.07,8.967,0
3.3682,4.08,8.967,0
3.3691,4.09,8.967,0
3.3701,4.1,8.967,0
3.371,4.11,8.967,0
3.3719,4.12,8.967,0
3.3725,4.13,8.967,0
3.3727,4.14,8.967,0
3.3728,4.15,8.967,0
3.373,4.16,8.967,0
3.3732,4.17,8.967,0
3.3733,4.18,8.967,0
3.3735,4.19,8.967,0
3.3737,4.2,8.967,0
3.3739,4.21,8.967,0
3.374,4.22,8.967,0
3.3742,4.23,8.967,0
3.3744,4.24,8.967,0
3.3745,4.25,8.967,0
3.3731,4.26,8.967,0
3.3716,4.27,8.967,0
3.3702,4.28,8.967,0
3.3687,4.29,8.967,0
3.3673,4.3,8.967,0
3.3658,4.31,8.967,0
3.3644,4.32,8.967,0
3.3629,4.33,8.967,0
3.3615,4.34,8.967,0
3.36,4.35,8.967,0
3.3586,4.36,8.967,0
3.3571,4.37,8.967,0
3.3548,4.38,8.967,0
3.3516,4.39,8.967,0
3.3484,4.4,8.967,0
3.3452,4.41,8.967,0
3.3421,4.42,8.967,0
3.3389,4.43,8.967,0
3.3357,4.44,8.967,0
3.3325,4.45,8.967,0
3.3293,4.46,8.967,0
3.3261,4.47,8.967,0
3.3229,4.48,8.967,0
3.3197,4.49,8.967,0
3.3165,4.5,8.967,0
3.3116,4.51,8.967,0
3.3067,4.52,8.967,0
3.3018,4.53,8.967,0
3.2969,4.54,8.967,0
3.292,4.55,8.967,0
3.287,4.56,8.967,0
3.2821,4.57,8.967,0
3.2772,4.58,8.967,0
3.2723,4.59,8.967,0
3.2674,4.6,8.967,0
3.2624,4.61,8.967,0
3.2575,4.62,8.967,0
3.2518,4.63,8.967,0
3.2452,4.64,8.967,0
3.2386,4.65,8.967,0
3.232,4.66,8.967,0
3.2254,4.67,8.967,0
3.2188,4.68,8.967,0
3.2122,4.69,8.967,0
3.2056,4.7,8.967,0
3.199,4.71,8.967,0
3.1924,4.72,8.967,0
3.1858,4.73,8.967,0
3.1792,4.74,8.967,0
3.1726,4.75,8.967,0
3.1645,4.76,8.967,0
3.1564,4.77,8.967,0
3.1483,4.78,8.967,0
3.1402,4.79,8.967,0
3.1321,4.8,8.967,0
3.124,4.81,8.967,0
3.1159,4.82,8.967,0
3.1077,4.83,8.967,0
3.0996,4.84,8.967,0
3.0915,4.85,8.967,0
3.0834,4.86,8.967,0
3.0753,4.87,8.967,0
3.0668,4.88,8.967,0
3.058,4.89,8.967,0
3.0491,4.9,8.967,0
3.0402,4.91,8.967,0
3.0314,4.92,8.967,0
3.0225,4.93,8.967,0
3.0136,4.94,8.967,0
3.0048,4.95,8.967,0
2.9959,4.96,8.967,0
2.9871,4.97,8.967,0
2.9782,4.98,8.967,0
2.9693,4.99,8.967,0
2.9605,5,8.967,0
2.9533,5.01,8.967,0
2.9461,5.02,8.967,0
2.9389,5.03,8.967,0
2.9317,5.04,8.967,0
2.9244,5.05,8.967,0
2.9172,5.06,8.967,0
2.91,5.07,8.967,0
2.9028,5.08,8.967,0
2.8956,5.09,8.967,0
2.8884,5.1,8.967,0
2.8812,5.11,8.967,0
2.874,5.12,8.967,0
2.8666,5.13,8.967,0
2.8591,5.14,8.967,0
2.8515,5.15,8.967,0
2.8439,5.16,8.967,0
2.8364,5.17,8.967,0
2.8288,5.18,8.967,0
2.8213,5.19,8.967,0
2.8137,5.2,8.967,0
2.8062,5.21,8.967,0
2.7986,5.22,8.967,0
2.7911,5.23,8.967,0
2.7835,5.24,8.967,0
2.776,5.25,8.967,0
2.7688,5.26,8.967,0
2.7616,5.27,8.967,0
2.7544,5.28,8.967,0
2.7472,5.29,8.967,0
2.74,5.3,8.967,0
2.7329,5.31,8.967,0
2.7257,5.32,8.967,0
2.7185,5.33,8.967,0
2.7113,5.34,8.967,0
2.7041,5.35,8.967,0
2.6969,5.36,8.967,0
2.6898,5.37,8.967,0
2.6828,5.38,8.967,0
2.6761,5.39,8.967,0
2.6694,5.4,8.967,0
2.6627,5.41,8.967,0
2.6561,5.42,8.967,0
2.6494,5.43,8.967,0
2.6427,5.44,8.967,0
